project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
hyperlight,sandbox,,2025-03-04,2025-03-04,,,,0,
in-toto,graduated,,2019-08-14,2019-08-14,2022-03-10,2025-02-10,,0,
inclavare containers,sandbox,,2021-09-14,2021-09-14,,,,0,
inspektor gadget,sandbox,,2023-03-07,2023-03-07,,,,0,
interlink,sandbox,,2025-03-04,2025-03-04,,,,0,
istio,graduated,,2022-09-30,,2022-09-30,2023-07-12,,1,2023-01-30
jaeger,graduated,,2017-09-13,,2017-09-13,2019-10-31,,1,2019-05-04
k0s,sandbox,,2025-01-19,2025-01-19,,,,0,
k3s,sandbox,,2020-08-19,2020-08-19,,,,0,
k8gb,sandbox,,2021-03-30,2021-03-30,,,,0,
k8sgpt,sandbox,,2023-12-19,2023-12-19,,,,0,
k8up,sandbox,,2021-11-16,2021-11-16,,,,0,
kagent,sandbox,,2025-05-22,2025-05-22,,,,0,
kai scheduler,sandbox,,2025-12-21,2025-12-21,,,,0,
kairos,sandbox,,2024-04-13,2024-04-13,,,,0,
kaito,sandbox,,2024-10-17,2024-10-17,,,,0,
kanister,sandbox,,2023-09-20,2023-09-20,,,,0,
karmada,incubating,,2021-09-14,2021-09-14,2023-12-12,,,0,
kcl,sandbox,,2023-09-20,2023-09-20,,,,0,
kcp,sandbox,,2023-09-19,2023-09-19,,,,0,
keda,graduated,,2020-03-12,2020-03-12,2021-08-18,2023-08-22,,1,2023-02-02
kepler,sandbox,,2023-05-17,2023-05-17,,,,0,
keptn,archived,,2020-06-25,2020-06-25,2022-07-13,,2025-09-03,0,
keycloak,incubating,,2023-04-10,,2023-04-10,,,0,
keylime,sandbox,,2020-09-22,2020-09-22,,,,0,
kgateway,sandbox,,2025-03-04,2025-03-04,,,,0,
kitops,sandbox,,2025-03-04,2025-03-04,,,,0,
kmesh,sandbox,,2024-10-17,2024-10-17,,,,0,
knative,graduated,,2022-03-02,,2022-03-02,2025-09-11,,2,2023-11-27
ko,sandbox,,2022-12-14,2022-12-14,,,,0,
konveyor,sandbox,,2022-07-26,2022-07-26,,,,0,
koordinator,sandbox,,2024-04-16,2024-04-16,,,,0,
kpt,sandbox,,2023-06-30,2023-06-30,,,,0,
krator,archived,,2021-07-13,2021-07-13,,,2024-01-31,0,
krkn,sandbox,,2023-12-19,2023-12-19,,,,0,
krustlet,archived,,2021-07-13,2021-07-13,,,2024-09-30,0,
kserve,incubating,,2025-09-29,,2025-09-29,,,0,
